"gene","Gene name","log2FoldChange","padj"
"ENSG00000127054","INTS11",-1.06152772897105e-05,0.607022815144661
"ENSG00000175279","CENPS",8.46353466913771e-07,0.911716636102038
"ENSG00000184007","PTP4A2",7.81792485981814e-06,0.53844331294558
"ENSG00000079277","MKNK1",-3.28298788554861e-07,0.976718320538842
"ENSG00000132849","PATJ",3.94690628220604e-06,0.155003368735614
"ENSG00000122482","ZNF644",-8.17366040967149e-06,0.564947275427216
"ENSG00000117543","DPH5",-2.69576305442438e-06,0.909973380476035
"ENSG00000060718","COL11A1",-2.02688412121175e-06,0.344352331482164
"ENSG00000163349","HIPK1",6.37624359037632e-06,0.620645179998705
"ENSG00000178104","PDE4DIP",7.47934432248743e-07,0.947004651385487
"ENSG00000143549","TPM3",-6.52676382433465e-06,0.902377103076774
"ENSG00000116584","ARHGEF2",-1.26996107804414e-06,0.947004651385487
"ENSG00000072694","FCGR2B",-2.42632010357716e-06,NA
"ENSG00000143322","ABL2",-2.69901306339343e-06,0.724506576948883
"ENSG00000162779","AXDND1",1.60436076692483e-06,0.676671777680902
"ENSG00000116698","SMG7",-1.94715983808951e-07,0.995497297098255
"ENSG00000054267","ARID4B",-3.47932905429355e-05,0.890803421756216
"ENSG00000035115","SH3YL1",-2.25453053162979e-06,0.883817468770347
"ENSG00000115705","TPO",2.32812042147767e-07,0.52142260592055
"ENSG00000138081","FBXO11",-9.57724891818546e-06,0.724869683085475
"ENSG00000119866","BCL11A",6.42611016622893e-07,0.855952515656538
"ENSG00000132305","IMMT",1.59683242297959e-05,0.482916272547655
"ENSG00000135968","GCC2",-3.93628830706324e-06,0.312550601302459
"ENSG00000074047","GLI2",-1.7203282816824e-06,0.91267324026669
"ENSG00000163092","XIRP2",7.49645255375328e-07,0.577011699764226
"ENSG00000078018","MAP2",-2.67176218037774e-06,0.414970706124384
"ENSG00000144589","STK11IP",-6.77806500052676e-06,0.599888770504982
"ENSG00000085978","ATG16L1",6.13004552339832e-06,0.366107847946571
"ENSG00000114026","OGG1",4.56536435836678e-06,0.489831552960071
"ENSG00000174748","RPL15",-9.5913324545437e-06,0.461284004764949
"ENSG00000144642","RBMS3",-1.63553366405867e-06,0.676083033723018
"ENSG00000181555","SETD2",-2.29283677380046e-07,0.991197502449319
"ENSG00000047849","MAP4",-3.13981145395697e-06,0.755150994304023
"ENSG00000164053","ATRIP",-9.28686799626045e-06,0.534083663811432
"ENSG00000090097","PCBP4",-1.63676750815068e-06,0.759341834169999
"ENSG00000010318","PHF7",7.70371156703969e-06,0.433989513586269
"ENSG00000114867","EIF4G1",1.18230611779015e-06,0.942527956026181
"ENSG00000145113","MUC4",-9.4456051998643e-08,NA
"ENSG00000168214","RBPJ",-0.335022431012766,0.112308139068348
"ENSG00000120251","GRIA2",-2.65389901614061e-06,0.176241314053636
"ENSG00000158987","RAPGEF6",6.02008879868642e-07,0.975210023726011
"ENSG00000043143","JADE2",1.47434700073567e-06,0.749385848987991
"ENSG00000070814","TCOF1",2.98881041246137e-07,0.983342314097469
"ENSG00000048162","NOP16",-3.02547372407703e-06,0.802972733511862
"ENSG00000165671","NSD1",-2.59544818557584e-06,0.857286588982991
"ENSG00000124588","NQO2",1.2761189466359e-06,0.934216358102845
"ENSG00000007866","TEAD3",-5.13278039812393e-05,0.876036983377476
"ENSG00000151914","DST",5.10686789378586e-07,0.97837085410699
"ENSG00000111799","COL12A1",-1.09414170863411e-06,0.714390699449016
"ENSG00000164418","GRIK2",-2.94208173856044e-06,0.984342773211792
"ENSG00000135541","AHI1",1.54107874150599e-06,0.913279644966082
"ENSG00000130396","AFDN",-1.94646688279318e-05,0.605411747880315
"ENSG00000122545","SEPTIN7",-7.75434919759494e-07,0.943729976145864
"ENSG00000091129","NRCAM",1.89056072982365e-06,0.498336699415608
"ENSG00000004866","ST7",2.85166606016134e-06,0.947161918722958
"ENSG00000165125","TRPV6",1.33159233662026e-07,NA
"ENSG00000158863","FHIP2B",-3.18731417206453e-05,0.727427297390647
"ENSG00000120885","CLU",1.96402330842464e-06,0.434232132578045
"ENSG00000029534","ANK1",2.1435435158338e-06,0.225910224179174
"ENSG00000136997","MYC",-4.6507925207606e-06,0.317313378636972
"ENSG00000153310","CYRIB",7.8060025779384e-06,0.362671428477028
"ENSG00000120156","TEK",4.26280446266571e-08,NA
"ENSG00000137076","TLN1",-5.90229358015782e-07,0.949818504436169
